title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date
Final Fantasy XIII,Ps3,Role-Playing,Square Enix,Square Enix,8.0,5.35,1.75,1.87,1.23,0.51,2010-03-09
Assassin's Creed III,X360,Action-Adventure,Ubisoft,Ubisoft Montreal,,5.31,3.13,0.03,1.71,0.45,2012-10-30
Assassin's Creed II,X360,Action,Ubisoft,Ubisoft Montreal,9.1,5.3,3.14,0.08,1.55,0.52,2009-11-17
Tomb Raider II,Ps,Adventure,Eidos Interactive,Core Design Ltd.,7.6,5.24,2.3,0.2,2.46,0.28,1997-10-31
Madden NFL 2004,Ps2,Sports,Ea Sports,Ea Tiburon,9.5,5.23,4.26,0.01,0.26,0.71,2003-08-12
Call of Duty: Advanced Warfare,Xone,Shooter,Activision,Sledgehammer Games,8.3,5.22,3.25,0.01,1.49,0.48,2014-11-04
Medal of Honor: Rising Sun,Ps2,Shooter,Electronic Arts,Ea Los Angeles,5.9,5.13,1.98,0.13,2.23,0.8,2003-11-11
Battlefield 1,Xone,Shooter,Electronic Arts,Ea Dice,9.3,5.13,3.37,0.02,1.26,0.48,2016-10-21
Microsoft Flight Simulator,Pc,Simulation,Microsoft,Microsoft,7.0,5.12,3.22,,1.69,0.2,1996-10-31
Guitar Hero II,Ps2,Misc,Redoctane,Harmonix Music Systems,9.2,5.12,3.81,,0.63,0.68,2006-11-07
FIFA 13,X360,Sports,Ea Sports,Ea Canada,,5.11,1.1,0.03,3.49,0.5,2012-09-25
Mario & Sonic at the Olympic Games,Ds,Sports,Sega,Sega,7.0,5.1,1.63,0.44,2.46,0.57,2008-01-22
Fable III,X360,Role-Playing,Microsoft Game Studios,Lionhead Studios,7.8,5.1,3.59,0.05,1.09,0.37,2010-10-26
Resident Evil 5,Ps3,Action,Capcom,Capcom,8.6,5.1,1.96,1.08,1.42,0.64,2009-03-13
FIFA Soccer 11,Ps3,Sports,Ea Sports,Ea Canada,8.7,5.08,0.61,0.06,3.28,1.12,2010-09-28
Grand Theft Auto: Vice City Stories,Psp,Action,Rockstar Games,Rockstar Leeds,8.4,5.08,1.7,0.16,2.03,1.19,2006-10-31
Final Fantasy XV,Ps4,Role-Playing,Square Enix,Square Enix,8.1,5.07,1.81,1.05,1.53,0.68,2016-11-29
Fallout 4,Xone,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.4,5.03,2.94,0.02,1.62,0.45,2015-11-10
Tony Hawk's Pro Skater,Ps,Sports,Activision,Neversoft Entertainment,9.6,5.02,3.42,0.02,1.38,0.2,1999-08-31
Warzone 2100,Ps,Strategy,Eidos Interactive,Pumpkin Studios,,5.01,2.79,,1.89,0.33,1999-05-31
Guitar Hero III: Legends of Rock,Ps2,Misc,Redoctane,Budcat Creations,8.2,4.98,3.49,0.01,0.01,1.48,2007-10-28
Uncharted: Drake's Fortune,Ps3,Action,Sony Computer Entertainment,Naughty Dog,8.7,4.97,2.32,0.12,1.73,0.8,2007-11-16
Fallout 3,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.0,4.96,3.41,0.09,0.99,0.46,2008-10-28
Madden NFL 06,Ps2,Sports,Ea Sports,Ea Tiburon,9.1,4.91,3.98,0.01,0.26,0.66,2005-08-08
Call of Duty: Black Ops IIII,Xone,Shooter,Activision,Treyarch,,4.85,3.27,,1.12,0.46,2018-10-12
Assassin's Creed,Ps3,Action,Ubisoft,Ubisoft Montreal,8.2,4.83,1.91,0.09,2.01,0.82,2007-11-13
Crash Bandicoot N. Sane Trilogy,Ps4,Platform,Activision,Vicarious Visions,,4.83,1.09,0.07,2.92,0.74,2017-06-30
Call of Duty: Infinite Warfare,Xone,Shooter,Activision,Infinity Ward,,4.79,2.91,,1.44,0.44,2016-11-04
Crash Team Racing,Ps,Racing,Sony Computer Entertainment,Naughty Dog,9.2,4.79,2.57,0.44,1.57,0.21,1999-09-30
LEGO Star Wars: The Complete Saga,Ds,Action,Lucasarts,Traveller'S Tales,7.8,4.77,2.83,,1.49,0.45,2007-11-06
Batman: Arkham City,X360,Action,Warner Bros. Interactive,Rocksteady Studios,9.5,4.75,2.99,0.04,1.28,0.44,2011-10-18
Driver 2,Ps,Action,Atari,Reflections Interactive,7.0,4.73,2.36,0.02,2.1,0.25,2000-11-13
The Simpsons: Hit & Run,Ps2,Racing,Vu Games,Radical Entertainment,7.7,4.7,1.73,,2.19,0.79,2003-09-16
Tony Hawk's Pro Skater 2,Ps,Sports,Activision,Neversoft Entertainment,9.3,4.68,3.05,0.02,1.41,0.2,2000-09-20
The Lord of the Rings: The Two Towers,Ps2,Action,Electronic Arts,Stormfront Studios,8.3,4.67,1.94,0.08,1.95,0.7,2002-10-21
Tomb Raider,Ps,Action,Eidos Interactive,Core Design Ltd.,8.9,4.63,2.29,0.13,1.97,0.24,1996-11-14
Forza Motorsport 4,X360,Racing,Microsoft Studios,Turn 10 Studio,9.1,4.6,2.08,0.06,1.98,0.49,2011-10-11
Guitar Hero III: Legends of Rock,Wii,Misc,Redoctane,Vicarious Visions,8.6,4.6,3.04,0.0,1.12,0.44,2007-10-28
FIFA 15,Ps3,Sports,Ea Sports,Ea Canada,6.9,4.56,0.59,0.04,3.25,0.68,2014-09-23
Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,Sega,6.8,4.54,1.87,0.22,1.97,0.48,2009-10-13
Overwatch,Ps4,Shooter,Blizzard Entertainment,Blizzard Entertainment,8.8,4.54,1.84,0.17,1.8,0.73,2016-05-24
Guitar Hero III: Legends of Rock,X360,Misc,Redoctane,Neversoft,8.7,4.53,3.19,0.01,0.91,0.42,2007-10-28
Star Wars Battlefront II (2017),Ps4,Shooter,Electronic Arts,Ea Dice,,4.53,1.7,0.12,1.99,0.73,2017-11-17
Madden NFL 2005,Ps2,Sports,Ea Sports,Ea Tiburon,9.5,4.53,4.18,0.01,0.26,0.08,2004-08-09
Spider-Man: The Movie,Ps2,Action,Activision,Treyarch,8.2,4.48,2.71,0.03,1.51,0.23,2002-04-15
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,Bethesda Softworks,9.2,4.47,2.89,0.13,1.03,0.41,2009-07-07
Tony Hawk's Pro Skater 3,Ps2,Sports,Activision,Neversoft Entertainment,9.1,4.41,2.66,0.01,1.29,0.46,2001-10-28
Winning Eleven: Pro Evolution Soccer 2007,Ps2,Sports,Konami,Konami Computer Entertainment Tokyo,8.8,4.39,0.1,1.05,2.39,0.86,2007-02-06
Tom Clancy's The Division,Ps4,Shooter,Ubisoft,Massive Entertainment,,4.37,1.49,0.16,2.04,0.69,2016-03-08
Need for Speed: Most Wanted,Ps2,Racing,Electronic Arts,Ea Canada,8.6,4.37,2.03,0.08,1.79,0.47,2005-11-15
Michael Jackson: The Experience,Wii,Misc,Ubisoft,Ubisoft Montpellier,5.6,4.37,2.64,0.01,1.33,0.39,2010-11-23
Tom Clancy's Rainbow Six: Siege,Ps4,Shooter,Ubisoft,Ubisoft Montreal,,4.36,1.29,0.36,2.06,0.64,2015-12-01
Call of Duty: Advanced Warfare,X360,Shooter,Activision,High Moon Studios,9.1,4.34,2.81,0.0,1.13,0.41,2014-11-04
Watch Dogs,Ps4,Action-Adventure,Ubisoft,Ubisoft Montreal,,4.32,1.4,0.11,2.13,0.68,2014-05-27
Asteroids,2600,Shooter,Atari,Atari,,4.31,4.0,,0.26,0.05,1981-01-01
Batman: Arkham Asylum,Ps3,Action,Eidos Interactive,Rocksteady Studios,9.0,4.28,2.26,0.07,1.33,0.63,2009-08-25
Call of Duty: Advanced Warfare,Ps3,Shooter,Activision,High Moon Studios,9.1,4.27,1.59,0.2,1.81,0.67,2014-11-04
Namco Museum,Gba,Misc,Namco,Mass Media,,4.24,3.0,0.05,1.11,0.07,2001-06-10
Assassin's Creed: Revelations,Ps3,Action,Ubisoft,Ubisoft Montreal,8.8,4.23,1.41,0.1,2.03,0.69,2011-11-15
Assassin's Creed: Revelations,X360,Action,Ubisoft,Ubisoft Montreal,7.9,4.22,2.28,0.04,1.47,0.44,2011-11-15
FIFA Soccer 06,Ps2,Sports,Ea Sports,Ea Canada,8.4,4.21,0.78,0.04,2.55,0.84,2005-10-04
Street Fighter IV,Ps3,Fighting,Capcom,Capcom / Dimps Corporation,9.3,4.19,2.04,0.59,1.05,0.52,2009-02-17
FIFA Soccer 12,X360,Sports,Ea Sports,Ea Canada,9.2,4.18,0.85,0.02,2.79,0.52,2011-09-27
Call of Duty: Ghosts,Ps4,Shooter,Activision,Infinity Ward,7.5,4.17,1.79,0.05,1.64,0.69,2013-11-15
Teenage Mutant Ninja Turtles,Nes,Platform,Ultra Games,Konami,5.9,4.17,3.38,0.31,0.44,0.04,1989-06-01
Frogger,Ps,Action,Hasbro Interactive,Millenium Interactive,,4.16,3.79,,0.27,0.11,1997-09-30
FIFA 14,X360,Sports,Ea Sports,Ea Canada,,4.15,0.94,0.01,2.92,0.29,2013-09-24
Star Wars Battlefront (2015),Xone,Shooter,Electronic Arts,Ea Dice,6.9,4.15,2.49,0.02,1.26,0.38,2015-11-17
Madden NFL 2003,Ps2,Sports,Ea Sports,Ea Tiburon,9.4,4.14,3.36,0.01,0.21,0.56,2002-08-12
Assassin's Creed: Unity,Ps4,Action,Ubisoft,Ubisoft Montreal,,4.14,1.25,0.09,2.16,0.65,2014-11-11
Destiny 2,Ps4,Shooter,Activision,Bungie,,4.14,1.92,0.1,1.44,0.69,2017-09-06
FIFA 07 Soccer,Ps2,Sports,Ea Sports,Team Fusion,8.4,4.11,0.71,0.03,2.48,0.89,2006-10-03
Batman: Arkham Knight,Ps4,Action,Warner Bros. Interactive,Rocksteady Studios,8.1,4.11,1.65,0.11,1.68,0.66,2015-06-23
The Sims 4,Pc,Simulation,Electronic Arts,Maxis,7.0,4.1,1.2,,2.6,0.3,2014-09-02
Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks,Obsidian Entertainment,8.2,4.08,2.67,0.04,1.03,0.34,2010-10-19
Carnival Games,Wii,Misc,Global Star Software,Cat Daddy Games,4.2,4.06,2.12,0.05,1.47,0.42,2007-08-28
Far Cry 4,Ps4,Shooter,Ubisoft,Ubisoft Montreal,8.4,4.06,1.18,0.11,2.14,0.63,2014-11-18
Assassin's Creed Origins,Ps4,Action,Ubisoft,Ubisoft Montreal,,4.06,1.22,0.11,2.11,0.63,2017-10-27
World Soccer Winning Eleven 9,Ps2,Sports,Konami,Konami Computer Entertainment Tokyo,8.9,4.06,0.12,0.9,2.26,0.77,2006-02-07
Forza Motorsport 2,X360,Racing,Microsoft Game Studios,Turn 10 Studios,9.1,4.05,2.35,0.03,1.27,0.41,2007-05-29
Namco Museum Vol.3,Ps,Misc,Namco,Namco,,4.05,2.28,0.16,1.55,0.06,1997-01-31
Tekken Tag Tournament,Ps2,Fighting,Namco,Namco,8.7,4.05,1.68,0.51,1.51,0.35,2000-10-25
Fallout 3,Ps3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.8,4.0,2.18,0.07,1.15,0.61,2008-10-28
The Elder Scrolls V: Skyrim,Pc,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.2,3.99,1.18,,2.25,0.56,2011-11-11
NBA 2K16,Ps4,Sports,2K Sports,Visual Concepts,8.7,3.98,2.56,0.05,0.66,0.71,2015-09-29
Namco Museum: 50th Anniversary,Ps2,Misc,Namco,Digital Eclipse,,3.98,2.08,,1.35,0.54,2005-08-30
Far Cry 5,Ps4,Action,Ubisoft,Ubisoft,7.9,3.95,1.44,0.15,1.73,0.62,2018-03-27
Battlefield 4,Ps4,Shooter,Electronic Arts,Ea Dice,8.3,3.94,1.4,0.19,1.74,0.62,2013-11-15
Assassin's Creed IV: Black Flag,Ps3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.7,3.94,1.34,0.13,1.86,0.62,2013-10-29
Tony Hawk's Underground,Ps2,Sports,Activision,Neversoft Entertainment,8.7,3.9,2.29,0.01,1.17,0.42,2003-10-27
Just Dance 2014,Wii,Music,Ubisoft,Ubisoft Paris,7.4,3.89,1.91,,1.66,0.33,2013-10-08
Sports Champions,Ps3,Sports,Sony Computer Entertainment,Sce San Diego Studio,7.6,3.88,2.15,0.1,1.13,0.5,2010-09-17
World Soccer Winning Eleven 8 International,Ps2,Sports,Konami,Konami Computer Entertainment Tokyo,9.3,3.85,0.16,1.12,1.89,0.68,2005-02-01
Namco Museum Vol.1,Ps,Misc,Namco,Namco,,3.84,2.12,0.22,1.44,0.06,1996-07-31
LEGO Indiana Jones: The Original Adventures,X360,Adventure,Lucasarts,Traveller'S Tales,7.5,3.76,2.4,,1.01,0.36,2008-06-03
The Sims: Unleashed,Pc,Simulation,Electronic Arts,Maxis,7.3,3.76,2.03,,1.56,0.17,2002-09-23
Ratchet & Clank: Size Matters,Psp,Platform,Sony Computer Entertainment,High Impact Games,8.5,3.75,1.4,0.1,1.4,0.86,2007-02-13
FIFA 17,Xone,Sports,Electronic Arts,Ea Canada,8.8,3.71,1.04,,2.4,0.27,2016-09-27
FIFA Soccer 2005,Ps2,Sports,Ea Sports,Ea Canada,8.4,3.7,0.58,0.04,2.48,0.59,2004-10-12
Tony Hawk's Pro Skater 4,Ps2,Sports,Activision,Neversoft Entertainment,9.6,3.67,2.13,0.01,1.18,0.35,2002-10-23
MySims,Ds,Simulation,Electronic Arts,Ea Redwood Shores,6.7,3.66,1.58,0.08,1.6,0.4,2007-09-18
Midnight Club 3: DUB Edition,Psp,Racing,Rockstar Games,Rockstar Leeds,7.2,3.66,1.65,,1.22,0.79,2005-06-27
SOCOM: U.S. Navy SEALs,Ps2,Shooter,Sony Computer Entertainment,Zipper Interactive,8.0,3.65,2.53,0.06,0.81,0.24,2002-08-27
Battlefield 4,Ps3,Shooter,Electronic Arts,Ea Dice,8.7,3.64,1.31,0.27,1.5,0.55,2013-10-29
Jak and Daxter: The Precursor Legacy,Ps2,Platform,Sony Computer Entertainment,Naughty Dog,9.0,3.64,2.08,0.15,1.09,0.33,2001-12-04
Pro Evolution Soccer 2008,Ps2,Sports,Konami,Konami,8.2,3.63,0.05,0.64,0.0,2.93,2008-03-11
FIFA Soccer 10,Ps3,Sports,Ea Sports,Ea Canada,9.0,3.63,0.6,0.05,2.46,0.52,2009-10-20
Guitar Hero: World Tour,Wii,Misc,Activision,Vicarious Visions,8.4,3.62,2.32,,0.96,0.34,2008-10-26
The Simpsons: Road Rage,Ps2,Racing,Electronic Arts,Radical Entertainment,6.1,3.61,2.02,,1.17,0.42,2001-11-24
Star Wars Battlefront,Ps2,Shooter,Lucasarts,Pandemic Studios,8.1,3.61,1.93,0.03,1.22,0.44,2004-09-20
Doom II,Pc,Shooter,Gt Interactive,Id Software,9.3,3.61,2.05,,1.4,0.16,1994-09-30
Assassin's Creed Syndicate,Ps4,Action,Ubisoft,Ubisoft Quebec,8.6,3.6,0.9,0.08,2.06,0.55,2015-10-23
Star Wars Battlefront II,Ps2,Shooter,Lucasarts,Pandemic Studios,8.5,3.59,2.18,0.03,1.02,0.37,2005-11-01
Assassin's Creed: Unity,Xone,Action,Ubisoft,Ubisoft Montreal,,3.58,2.34,0.0,0.9,0.34,2014-11-11
WWF SmackDown!,Ps,Fighting,Thq,Yuke'S,,3.58,2.01,0.06,1.35,0.16,2000-03-01
Cooking Mama 2: Dinner With Friends,Ds,Simulation,Majesco,Office Create,6.9,3.58,1.6,0.1,1.49,0.39,2007-11-13
The Getaway,Ps2,Action,Sony Computer Entertainment,Team Soho,7.7,3.54,1.23,0.05,1.77,0.49,2003-01-19
Tomb Raider III: Adventures of Lara Croft,Ps,Adventure,Eidos Interactive,Core Design Ltd.,8.2,3.54,1.66,0.12,1.58,0.18,1998-11-21
Grand Theft Auto: Liberty City Stories,Ps2,Action,Rockstar Games,Rockstar Leeds,8.3,3.54,1.56,0.07,1.4,0.5,2006-06-06
Battlefield 4,X360,Shooter,Electronic Arts,Ea Dice,8.7,3.54,2.16,0.02,1.05,0.32,2013-10-29
Batman: Arkham Asylum,X360,Action,Eidos Interactive,Rocksteady Studios,9.1,3.54,2.24,0.02,0.95,0.33,2009-08-25
Resident Evil 5,X360,Action,Capcom,Capcom,8.6,3.53,2.13,0.12,0.93,0.34,2009-03-13
Assassin's Creed: Brotherhood,X360,Action,Ubisoft,Ubisoft Montreal,9.1,3.53,2.87,0.03,0.39,0.25,2010-11-16
LEGO Star Wars: The Video Game,Ps2,Action,Eidos Interactive,Traveller'S Tales,7.9,3.53,1.98,0.01,1.14,0.41,2005-04-02
James Bond 007: Agent Under Fire,Ps2,Shooter,Electronic Arts,Ea Redwood Shores,,3.53,1.9,0.1,1.13,0.41,2001-11-13
Rugrats in Paris: The Movie,Ps,Action,Thq,Avalanche Software,,3.52,1.96,,1.33,0.23,2000-10-29
FIFA Soccer 11,X360,Sports,Ea Sports,Ea Canada,8.7,3.52,0.71,0.02,2.39,0.4,2010-09-28
NBA 2K17,Ps4,Sports,2K Sports,Visual Concepts,9.0,3.52,2.28,0.03,0.59,0.63,2016-09-16
Mortal Kombat X,Ps4,Fighting,Warner Bros. Interactive Entertainment,Netherrealm Studios,,3.49,1.94,,0.94,0.61,2015-04-14
FIFA Soccer 2004,Ps2,Sports,Ea Sports,Ea Canada,8.0,3.49,0.59,0.04,2.36,0.51,2003-11-04
Borderlands,X360,Shooter,2K Games,Gearbox Software,8.3,3.48,2.43,0.03,0.72,0.3,2009-10-20
Battlefield: Bad Company 2,X360,Shooter,Electronic Arts,Ea Digital Illusions Ce,9.0,3.48,2.11,0.04,1.01,0.33,2010-03-02
Mario & Sonic at the Olympic Winter Games,Ds,Sports,Sega,Sega,7.6,3.47,1.21,0.27,1.63,0.37,2009-10-13
Guitar Hero: On Tour,Ds,Misc,Activision,Vicarious Visions,7.1,3.46,2.1,0.01,1.01,0.35,2008-06-22
Tekken 4,Ps2,Fighting,Namco,Namco,7.9,3.44,1.55,0.33,1.27,0.29,2002-09-23
LEGO Batman: The Videogame,X360,Adventure,Warner Bros. Interactive,Traveller'S Tales,7.5,3.44,2.07,,1.04,0.34,2008-09-23
Halo: The Master Chief Collection,Xone,Shooter,Microsoft Studios,343 Industries,8.8,3.44,2.06,0.03,1.04,0.31,2014-11-11
LittleBigPlanet 2,Ps3,Platform,Sony Computer Entertainment,Media Molecule,9.1,3.43,1.83,0.06,1.07,0.47,2011-01-18
FIFA 14,Ps4,Sports,Ea Sports,Ea Canada,,3.43,0.62,0.12,2.18,0.51,2013-11-15
